"label","mean_mf_min"
"chr14",172.150010798577
"chr11",172.00688578741
"chr8",161.883097507258
"chr17",142.744332640114
"chr16",131.671810095299
"chr18",114.844796793706
"chr12",112.482476980141
"chr9",100.987571647009
"chr4",99.9356646730549
"chr5",93.6078562471313
"chr7",90.1170847869486
"chr6",83.5271094068323
"chr2",82.3915393805662
"chr1",79.1100644831272
"chr10",77.5916712590576
"chr1.2",71.5158240675234
"chr19",66.7682431524097
"chr13",53.5507074469876
"chr15",41.6503328626805
"chr3",34.2850406228175
