"","Estimate","Std.Err","Lower","Upper","dose","label"
"0:chr1",1.17574828608261e-07,2.6149546869948e-08,7.60327291176181e-08,1.81814338150051e-07,"0","chr1"
"12.5:chr1",2.18506234735191e-07,3.49914806122728e-08,1.59644087288447e-07,2.99071361984637e-07,"12.5","chr1"
"25:chr1",4.28245938104469e-07,5.87918389300948e-08,3.2721700034717e-07,5.60467773093695e-07,"25","chr1"
"50:chr1",7.88025008133864e-07,7.04315044636697e-08,6.61396589280719e-07,9.38897211610523e-07,"50","chr1"
"0:chr1.2",1.34914562181354e-07,2.4921090988206e-08,9.39348923495032e-08,1.93771862971457e-07,"0","chr1.2"
"12.5:chr1.2",2.50363243766914e-07,3.35448636156354e-08,1.92540688299355e-07,3.25550689483545e-07,"12.5","chr1.2"
"25:chr1.2",4.79645484001388e-07,5.54726538731967e-08,3.82363093592401e-07,6.01678860167841e-07,"25","chr1.2"
"50:chr1.2",7.05800343012303e-07,5.99777173353307e-08,5.97514157763664e-07,8.33710997009246e-07,"50","chr1.2"
"0:chr10",1.84532658588875e-07,2.98979607835822e-08,1.34326487809492e-07,2.53504000894989e-07,"0","chr10"
"12.5:chr10",2.45482373426229e-07,3.38955033832157e-08,1.87278896284203e-07,3.21774619877753e-07,"12.5","chr10"
"25:chr10",4.8285449106693e-07,5.58454608224492e-08,3.84918629346861e-07,6.05708432296758e-07,"25","chr10"
"50:chr10",7.69945344495205e-07,6.344737702045e-08,6.55113576821044e-07,9.04905430881917e-07,"50","chr10"
"0:chr11",2.71267811623396e-07,4.20863280558949e-08,2.00141469194873e-07,3.67671057472338e-07,"0","chr11"
"12.5:chr11",7.7200461726021e-07,7.35036433661185e-08,6.40583582484995e-07,9.30387767290373e-07,"12.5","chr11"
"25:chr11",1.52888776582033e-06,1.27400017857409e-07,1.29851271176059e-06,1.80013470742677e-06,"25","chr11"
"50:chr11",1.72107900357949e-06,1.1946335495576e-07,1.50216380849733e-06,1.97189741878103e-06,"50","chr11"
"0:chr12",1.97322249101407e-07,3.12668446184789e-08,1.44643286009175e-07,2.69186846238879e-07,"0","chr12"
"12.5:chr12",3.14517573066181e-07,3.89507243912729e-08,2.46734436157517e-07,4.00922162742977e-07,"12.5","chr12"
"25:chr12",6.03329308972057e-07,6.39274747934464e-08,4.90188298904034e-07,7.42584545323801e-07,"25","chr12"
"50:chr12",1.11920894801953e-06,8.1292779242952e-08,9.70699669453894e-07,1.29043895732622e-06,"50","chr12"
"0:chr13",1.19853897853407e-07,2.36403639968533e-08,8.14251304559332e-08,1.76419205596841e-07,"0","chr13"
"12.5:chr13",2.23461955854036e-07,3.18719576476283e-08,1.68965611188369e-07,2.95534963374538e-07,"12.5","chr13"
"25:chr13",3.44156570592184e-07,4.58624402772633e-08,2.6504804928865e-07,4.46876501825455e-07,"25","chr13"
"50:chr13",5.39778941802535e-07,5.05225778268618e-08,4.49308491148172e-07,6.48466057850173e-07,"50","chr13"
"0:chr14",2.26393626211444e-07,3.62681043395688e-08,1.65387350441826e-07,3.09903229311334e-07,"0","chr14"
"12.5:chr14",5.58580360952357e-07,5.83450845322703e-08,4.55172043295953e-07,6.85481510205132e-07,"12.5","chr14"
"25:chr14",1.34414097786778e-06,1.121131326912e-07,1.14142440962211e-06,1.58285993636801e-06,"25","chr14"
"50:chr14",1.71351822292714e-06,1.15547912685763e-07,1.50137622855788e-06,1.95563553255644e-06,"50","chr14"
"0:chr15",1.95319259788285e-07,3.09533021260336e-08,1.4316951242924e-07,2.66464644580659e-07,"0","chr15"
"12.5:chr15",2.40671685009768e-07,3.34943075520451e-08,1.8321590693833e-07,3.16145366051309e-07,"12.5","chr15"
"25:chr15",3.63962959908326e-07,4.8164004592959e-08,2.80812120852003e-07,4.71735464207562e-07,"25","chr15"
"50:chr15",4.16870525129374e-07,4.37027429438507e-08,3.39441726431431e-07,5.11961321162868e-07,"50","chr15"
"0:chr16",2.55223555344366e-07,4.18233379537932e-08,1.85112115681689e-07,3.51889788319577e-07,"0","chr16"
"12.5:chr16",5.31768537852135e-07,6.07615617312629e-08,4.25071167068025e-07,6.65248080221221e-07,"12.5","chr16"
