"","Fold.Change","FC.Std.Err","Obs.T","p.value","df","FC.Lower","FC.Upper","adj_p.value","Significance","dose_1","label_1","dose_2","label_2"
"12.5:chr1 vs 0:chr1",1.85844399963547,0.50932842325374,5.1135392882739,0.0237398434233356,1,1.08609469065323,3.18003036890253,0.763444033238633,"","12.5","chr1","0","chr1"
"25:chr1 vs 0:chr1",3.64232670524498,0.951981965085072,24.45929297303,7.58965464031647e-07,1,2.18224436530873,6.07931175749144,4.55369082862367e-05,"***","25","chr1","0","chr1"
"50:chr1 vs 0:chr1",6.70232750888738,1.60651135407268,62.99591855606,2.1094237467878e-15,1,4.1898384480365,10.7214620786728,1.26565424807268e-13,"***","50","chr1","0","chr1"
"12.5:chr1.2 vs 0:chr1.2",1.85571697909357,0.42346348936148,7.3409028875216,0.00674029764905004,1,1.18651341357725,2.90235699579133,0.333547868664828,"","12.5","chr1.2","0","chr1.2"
"25:chr1.2 vs 0:chr1.2",3.55517948727167,0.774803252501326,33.8732182524477,5.88228821207792e-09,1,2.31928263059146,5.44965974392435,3.52937231440364e-07,"***","25","chr1.2","0","chr1.2"
"50:chr1.2 vs 0:chr1.2",5.23146153832938,1.06369772317155,66.2282473210614,4.44089209850063e-16,1,3.51196941244834,7.79283262832866,2.66453525910038e-14,"***","50","chr1.2","0","chr1.2"
"12.5:chr10 vs 0:chr10",1.33029229245077,0.283185892135024,1.7974419086478,0.180022063559356,1,0.876491274983203,2.01904757510317,0.999993268218586,"","12.5","chr10","0","chr10"
"25:chr10 vs 0:chr10",2.6166343386549,0.520880919626365,23.3485002895071,1.35148841184929e-06,1,1.77132562091691,3.86533971020179,8.10860718534201e-05,"***","25","chr10","0","chr10"
"50:chr10 vs 0:chr10",4.17240693535223,0.758426465972462,61.7593383732846,3.88578058618805e-15,1,2.92187821454686,5.95814690273642,2.33146835171283e-13,"***","50","chr10","0","chr10"
"12.5:chr11 vs 0:chr11",2.84591309466525,0.518047927718816,33.0118903683803,9.15969711190456e-09,1,1.99193660559438,4.06600356639884,5.49581678166433e-07,"***","12.5","chr11","0","chr11"
"25:chr11 vs 0:chr11",5.63608249969186,0.992561544288759,96.4106116555506,0,1,3.99092520572206,7.9594139969821,0,"***","25","chr11","0","chr11"
"50:chr11 vs 0:chr11",6.34457510192503,1.07836380605725,118.165432564187,0,1,4.54702126973591,8.85274794993536,0,"***","50","chr11","0","chr11"
"12.5:chr12 vs 0:chr12",1.59392858381897,0.320555061905973,5.3737850029347,0.0204415736606078,1,1.07469114735035,2.36403578514538,0.710385240247951,"","12.5","chr12","0","chr12"
"25:chr12 vs 0:chr12",3.05758378347895,0.582831047961306,34.3766524438818,4.5413853788645e-09,1,2.10437861413518,4.44255540813668,2.72483086205533e-07,"***","25","chr12","0","chr12"
"50:chr12 vs 0:chr12",5.67198556227865,0.988683255217256,99.1344844644096,0,1,4.03053092741203,7.98193111480586,0,"***","50","chr12","0","chr12"
"12.5:chr13 vs 0:chr13",1.86445297029348,0.453823523395899,6.55028074234227,0.0104867610878197,1,1.1570758337989,3.00428440115563,0.468752932092137,"","12.5","chr13","0","chr13"
"25:chr13 vs 0:chr13",2.87146748462967,0.683525104922268,19.6362352415766,9.36757081304584e-06,1,1.80087510941032,4.57851045427871,0.000561898956960682,"***","25","chr13","0","chr13"
"50:chr13 vs 0:chr13",4.50364111197065,0.983255104817289,47.5119059819544,5.46707124016166e-12,1,2.93579441876275,6.90878868622557,3.28024274409700e-10,"***","50","chr13","0","chr13"
"12.5:chr14 vs 0:chr14",2.46729720398869,0.471854928560245,22.3007792011223,2.33111998348967e-06,1,1.69603407976112,3.58928842613105,0.000139857581049729,"***","12.5","chr14","0","chr14"
"25:chr14 vs 0:chr14",5.93718560173772,1.07232939834477,97.2629353021444,0,1,4.16718771118569,8.45898368697482,0,"***","25","chr14","0","chr14"
"50:chr14 vs 0:chr14",7.56875646899514,1.31555023889626,135.602456203081,0,1,5.38362022762114,10.6408089844533,0,"***","50","chr14","0","chr14"
