"new_sample_id","dose_group","dose","label","sum_min","sum_max","mf_min","mf_max","group_depth","mf_min_scaled","mf_max_scaled"
"C1","Control",0,"chr1",76,79,1.34420927397075e-07,1.39727016636433e-07,565388154,13.4420927397075,13.9727016636433
"C2","Control",0,"chr1",112,128,1.48231600970906e-07,1.6940754396675e-07,755574380,14.8231600970906,16.940754396675
"C3","Control",0,"chr1",138,174,2.15655567154873e-07,2.71913541195275e-07,639909286,21.5655567154873,27.1913541195275
"C4","Control",0,"chr1",123,154,1.82195551222797e-07,2.28114755189518e-07,675098811,18.2195551222797,22.8114755189518
"C5","Control",0,NA,97,167,1.6217911997968e-07,2.79215598315531e-07,598104121,16.217911997968,27.9215598315531
"C6","Control",0,"chr1",124,129,2.02850796716707e-07,2.11030264326252e-07,611286729,20.2850796716707,21.1030264326252
"H1","High",50,"chr1",681,1516,9.68236272592452e-07,2.15542759067571e-06,703340723,96.8236272592452,215.542759067571
"H2","High",50,"chr1",723,1923,8.17093912962381e-07,2.17326638260949e-06,884843209,81.7093912962381,217.326638260949
"H3","High",50,NA,760,1835,1.02242723604309e-06,2.46862365544613e-06,743329181,102.242723604309,246.862365544613
"H4","High",50,"chr1",770,1718,9.62987147512046e-07,2.14858690834506e-06,799595303,96.2987147512046,214.858690834506
"H5","High",50,"chr1",659,2078,9.72415257348849e-07,3.06628058387088e-06,677694015,97.2415257348849,306.628058387088
"H6","High",50,"chr1",686,2632,9.78373634133537e-07,3.7537600656552e-06,701163621,97.8373634133537,375.37600656552
"L1","Low",12.5,"chr1",212,325,3.26892192015931e-07,5.0113189813763e-07,648531856,32.6892192015931,50.113189813763
"L2","Low",12.5,"chr1",230,357,3.22470137404063e-07,5.00529735014132e-07,713244339,32.2470137404063,50.0529735014132
"L3","Low",12.5,"chr1",248,412,3.70295846672196e-07,6.15168906568326e-07,669734760,37.0295846672196,61.5168906568326
"L4","Low",12.5,"chr1",273,411,3.98571065790418e-07,6.00046549596563e-07,684946860,39.8571065790418,60.0046549596563
"L5","Low",12.5,"chr1",228,306,3.18023412406586e-07,4.26820895598313e-07,716928349,31.8023412406586,42.6820895598313
"L6","Low",12.5,"chr1",221,308,3.19219397236963e-07,4.4488495180536e-07,692313819,31.9219397236963,44.488495180536
"M1","Medium",25,"chr1",230,336,7.72689975623513e-07,1.12879926873696e-06,297661426,77.2689975623513,112.879926873696
"M2","Medium",25,"chr1",160,197,9.25542634511179e-07,1.13957436874189e-06,172871561,92.5542634511179,113.957436874189
"M3","Medium",25,"chr1",379,590,5.63777898367077e-07,8.77648971072758e-07,672250546,56.3777898367077,87.7648971072758
"M4","Medium",25,"chr1",471,833,6.35696666022836e-07,1.12427881697882e-06,740919412,63.5696666022836,112.427881697882
"M5","Medium",25,"chr1",318,498,5.69839803785161e-07,8.92390636116384e-07,558051575,56.9839803785161,89.2390636116384
"M6","Medium",25,"chr1",467,817,6.36464294362626e-07,1.11347179549093e-06,733741082,63.6464294362626,111.347179549093
